 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,455,255,255,255,116025,116025
2,308,255,255,255,78540,78540
3,382,255,255,255,97410,97410
4,478,255,255,255,121890,121890
5,315,255,255,255,80325,80325
6,285,255,255,255,72675,72675
7,275,255,255,255,70125,70125
8,317,255,255,255,80835,80835
9,338,255,255,255,86190,86190
10,303,255,255,255,77265,77265
11,357,255,255,255,91035,91035
12,292,255,255,255,74460,74460
13,312,255,255,255,79560,79560
14,317,255,255,255,80835,80835
15,369,255,255,255,94095,94095
16,413,255,255,255,105315,105315
17,353,255,255,255,90015,90015
18,335,255,255,255,85425,85425
19,354,255,255,255,90270,90270
20,311,255,255,255,79305,79305
21,370,255,255,255,94350,94350
22,288,255,255,255,73440,73440
23,387,255,255,255,98685,98685
24,500,255,255,255,127500,127500
25,361,255,255,255,92055,92055
26,477,255,255,255,121635,121635
27,445,255,255,255,113475,113475
28,323,255,255,255,82365,82365
29,362,255,255,255,92310,92310
30,357,255,255,255,91035,91035
31,498,255,255,255,126990,126990
32,306,255,255,255,78030,78030
33,305,255,255,255,77775,77775
34,354,255,255,255,90270,90270
35,270,255,255,255,68850,68850
36,281,255,255,255,71655,71655
37,331,255,255,255,84405,84405
38,369,255,255,255,94095,94095
39,365,255,255,255,93075,93075
40,369,255,255,255,94095,94095
41,353,255,255,255,90015,90015
42,309,255,255,255,78795,78795
43,465,255,255,255,118575,118575
44,370,255,255,255,94350,94350
45,367,255,255,255,93585,93585
46,301,255,255,255,76755,76755
47,433,255,255,255,110415,110415
48,374,255,255,255,95370,95370
49,299,255,255,255,76245,76245
50,295,255,255,255,75225,75225
51,385,255,255,255,98175,98175
52,361,255,255,255,92055,92055
53,463,255,255,255,118065,118065
54,415,255,255,255,105825,105825
55,339,255,255,255,86445,86445
56,328,255,255,255,83640,83640
57,412,255,255,255,105060,105060
58,247,255,255,255,62985,62985
59,346,255,255,255,88230,88230
60,334,255,255,255,85170,85170
61,393,255,255,255,100215,100215
62,313,255,255,255,79815,79815
63,305,255,255,255,77775,77775
64,351,255,255,255,89505,89505
65,480,255,255,255,122400,122400
66,364,255,255,255,92820,92820
67,312,255,255,255,79560,79560
68,258,255,255,255,65790,65790
69,441,255,255,255,112455,112455
70,357,255,255,255,91035,91035
71,316,255,255,255,80580,80580
72,348,255,255,255,88740,88740
73,370,255,255,255,94350,94350
74,318,255,255,255,81090,81090
75,443,255,255,255,112965,112965
76,264,255,255,255,67320,67320
77,386,255,255,255,98430,98430
78,276,255,255,255,70380,70380
79,428,255,255,255,109140,109140
80,479,255,255,255,122145,122145
81,230,255,255,255,58650,58650
82,393,255,255,255,100215,100215
83,290,255,255,255,73950,73950
84,343,255,255,255,87465,87465
85,260,255,255,255,66300,66300
86,324,255,255,255,82620,82620
87,324,255,255,255,82620,82620
88,478,255,255,255,121890,121890
89,364,255,255,255,92820,92820
90,400,255,255,255,102000,102000
91,219,255,255,255,55845,55845
92,387,255,255,255,98685,98685
93,292,255,255,255,74460,74460
94,343,255,255,255,87465,87465
95,454,255,255,255,115770,115770
96,366,255,255,255,93330,93330
97,402,255,255,255,102510,102510
98,283,255,255,255,72165,72165
99,318,255,255,255,81090,81090
100,466,255,255,255,118830,118830
101,410,255,255,255,104550,104550
102,419,255,255,255,106845,106845
103,398,255,255,255,101490,101490
104,375,255,255,255,95625,95625
105,253,255,255,255,64515,64515
106,398,255,255,255,101490,101490
107,328,255,255,255,83640,83640
108,428,255,255,255,109140,109140
109,376,255,255,255,95880,95880
110,263,255,255,255,67065,67065
111,279,255,255,255,71145,71145
